input,target,prediction
neeroattaththin,நீரோட்டத்தின்,நீரோட்டத்தின்
edhirkkatchi,எதிர்க்கட்சி,எதிர்க்கக்சி
majeed,மஜீத்,மேேத்
peyaroa,பெயரோ,பெயரோ
panithan,பணித்தான்,பணிதன்
atul,அதுல்,அட்டு
vimaanangalin,விமானங்களின்,விமானங்களின்
chozhargalukku,சோழர்களுக்கு,சொழர்களுக்கு
udaipur,உதய்புர்,உடைப்புர்
eenoo,ஏனோ,எனோ
media,மீடியா,மெடியா
vangiyaalargaludanaana,வங்கியாளர்களுடனான,வங்கியாளர்களுடானன
thiruththuvatharku,திருத்துவதற்கு,திருத்துவரற்கு
titaniumm,டைட்டானியம்,ட்டனிமும்
idharkellaam,இதற்கெல்லாம்,இதர்கொள்ளாம்
pakiirathan,பகீரதன்,பகிிறதன்
kuutukalil,கூடுகளில்,குடுகளில்
vaathanggalai,வாதங்களை,வாதங்களை
kollaadhavar,கொள்ளாதவர்,கொள்ளாதவர்
idaith,இடைத்,இடைத்
thiyaakaraajar,தியாகராஜர்,தியாகராரார
accelya,அசில்யா,அக்சல்யா
vealaiyaaka,வேலையாக,வேளையாக
velaiththittam,வேலைத்திட்டம்,வெளைத்திட்டம்
paek,பேக்,பேக்
andar,அண்டர்,அண்டர்
wai,வேய்,வா
bhusawal,புஸாவால்,பிசாவல்
nilaippaattil,நிலைப்பாட்டில்,நிலைப்பாட்டில்
goopee,கோபி,கூபே
arkis,அர்கிஸ்,ஆர்கிச்
maembaalam,மேம்பாலம்,மேம்பாலம்
vechchitteengaley,வெச்சிட்டீங்களே,வெச்சிட்செட்களே
vaathittu,வாதிட்டு,வாதிட்டு
cakkarattai,சக்கரத்தை,காக்கர்டடை
sonwani,சோன்வானி,சொன்வானி
panitthaan,பணித்தான்,பணித்தான்
cranston,கிரான்ஸ்டான்,கிரா்்்்டன்
jinivaa,ஜினிவா,ஜினிவா
kanavanin,கணவனின்,கணவனின்
bakthakedigal,பக்தகேடிகள்,பக்கட்சிடக்
kulanggalin,குளங்களின்,குளங்களின்
parppavar,வேலைப்,பர்ப்பவர்
idharkellam,இதற்கெல்லாம்,இதர்கொள்ளம்
adankiyuzhzha,அடங்கியுள்ள,அடன்கிழுழ்வ
latchiyaththirgum,இலட்சத்திற்கும்,லட்சியத்திற்கும்
piridhoru,பிறிதொரு,பிறிதொரு
thanggumidam,தங்குமிடம்,தங்குகிடம்
railway,ரெயில்வே,ரைல்வை
aerpadavillai,ஏற்படவில்லை,ஏற்படவில்லை
vipaththin,விபத்தின்,விபத்தின்
polavo,போலவோ,போலவோ
maheshh,மகேஷ்,மசேஷ்
varunthaan,வருந்தான்,வருந்தான்
aanaiya,ஆணைய,ஆணைய
noolum,நூலும்,நூலும்
erickson,எரிக்சன்,எரிக்க்ன்
aarampiththullathu,ஆரம்பித்துள்ளது,ஆரம்பிச்த்லுள்து
asija,அசிஜா,அசிசா
katch,கட்ச்,கா்்்
maiyamaaka,மையமாக,மையமாக
kooppaiyil,கோப்பையில்,கோப்பையில்
kuuttankal,கூட்டங்கள்,குட்டங்கள்
sernthuvittiruntha,சேர்ந்துவிட்டிருந்த,செர்ந்துவிட்டிருந்த
teta,டாடா,டெட்ட
aanaimalai,ஆனைமலை,ஆணைமலை
yuneskoavin,யுனெஸ்கோவின்,யுயெங்காசின்
varaaga,வராக,வராக
vandhirundhanar,வந்திருந்தனர்,வந்திருந்தனர்
rajgarh,ரஜ்கர்,ரா்்ரர்
munnetukka,முன்னெடுக்க,முன்னுட்க்க
kkul,க்குள்,குக்ள்
kallaala,கல்லால,கல்லாள
lee,லீ,லே
thittamittullaar,திட்டமிட்டுள்ளார்,திட்டம்டுள்ளார்
thaervil,தேர்வில்,தேர்வில்
muguthuvali,முகுதுவலி,முகுவுவலி
mansfield,மேன்ஸ்ஃபீல்ட்,மன்பெயில்ட்
kaiyaal,கையாள்,கையால்
aana,ஆன்,ஆன
kudayyil,குடையில்,குடையில்
sollra,சொல்ற,சோல்லர
itarsi,இடார்சி,இட்ராசி
kirishthavarkalin,கிறித்தவர்களின்,கிரிந்தவர்களின்
adumattumalla,அதுமட்டுமல்ல,அடுமட்டுமள்ள
shajapur,சஜாபூர்,சாசுபர்
colii,கோலி,கோலி
saethamadainththana,சேதமடைந்தன,சேதமமைந்தத்த
matriyirunthathaagavum,மாற்றியிருந்ததாகவும்,மற்றியிருந்ததாகவும்
shaavai,ஷாவை,சாவாய்
panimanai,பணிமனை,பனிமனை
saliththollaikaana,சளித்தொல்லைக்கான,சலித்தொல்களையன
chitranshi,சித்ரான்ஷி,சிற்ராச்
narampukal,நரம்புகள்,நரம்புகள்
andri,அன்றி,ஆன்றி
kaithal,கைதல்,கைத்ல
ananrtham,அனர்த்தம்,அனந்தர்ம்
cork,கார்க்,கோர்்்
beepi,பீபி,பீபி
sasanka,சசாங்கா,சசங்க
under,அண்டர்,உண்டேர்
yoagaththin,யோகத்தின்,யோகத்தின்
renton,ரெண்டன்,ரென்ன்ட்
magaaveer,மகாவீர்,மகாவேர்
saashai,சாஸை,சாசாச
basirhat,பசிர்ஹட்,பசிர்த
panigalukkum,பணிகளுக்கும்,பணிகளுக்கும்
kulamum,குளமும்,குலமும்
kayitrril,கயிற்றில்,கயிற்றில்
vilaiyaadudhal,விளையாடுதல்,விளையாடுதல்
fitzgerald,பிட்ஸ்ஜெரால்ட்,பிடிக்கர்்ட்
modern,மாடன்,மோட்டர்
kota,கோடா,கோட்ட
kartu,சிம்,கற்டு
kalluriyaga,கல்லூரியாக,கல்லுரியக
iththittathirkku,இத்திட்டத்திற்கு,இத்திடத்திற்கு
thanithaniyaga,தனித்தனியாக,தனிதனியக
kark,கார்க்,கார்க்
vaelaiyin,வேலையின்,வேலையின்
maattruvathai,மாற்றுவதை,மாற்றுவதை
uruppugal,உறுப்புகள்,உருப்புகள்
vaippaar,வைப்பார்,வைப்பார்
braamanarkalum,பிராமணர்களும்,பிராமணர்களளும்
adiyiliyaal,அடியிலியால்,அடியிலிலால்
kezh,கேள்,கெழ்
thadaip,தடைப்,தடைப்
panguthaarargal,பங்குதாரர்கள்,பங்குதாரர்கள்
pudhuvaiyai,புதுவையை,புதுவையை
thadaipattathu,தடைபட்டது,தடைபட்டது
kaimari,கைமாறி,கைமாரி
ouil,ஆயில்,ஹெய்
santos,சான்டோஸ்,சந்தோஸ்
seithiyaalargalukum,செய்தியாளர்களுக்கும்,செய்தியாளர்களுகும்
pudhumaigalai,புதுமைகளை,புதுமைகளை
meemanjai,மீமாஞ்சை,மீனம்சை
padhivar,பதிவர்,பதிவர்
seluththappadavendum,செலுத்தப்படவேண்டும்,செலுத்தப்படடடனெனும்
thoguppin,தொகுப்பின்,தொகுப்பின்
eduththirukkirathu,எடுத்திருக்கிறது,எடுத்திருக்கிறது
chudalai,சுடலை,சுடலை
yokkiyargalukku,யோக்கியர்களுக்கு,யூக்கியர்களுக்கு
ippothea,இப்போதே,இப்பெத்
anupiyullathu,அனுப்பியுள்ளது,அனுபியிலுள்து
leakin,லீக்கின்,லீக்கின்
anuraathapuram,அனுராதபுரம்,அனுராத்புரம்
oliparappittu,ஒளிபரப்பிட்டு,ஒளிபரப்பிட்டு
nanmaigalaip,நன்மைகளைப்,நண்மைகளைப்
gooldain,கோல்டன்,கோல்டைன்
uruvaakkaththirku,உருவாக்கத்திற்கு,உருவாக்கத்திற்கு
maraala,மரால,மரால
santana,சான்டானா,சந்தன
paes,ஃபேஸ்,பேஸ்
vikraman,விக்கிரமன்,விக்ரமன்
azhugai,அழுகை,அழுகை
oruvar,ஒருவா்,ஒருவர்
bayangaravaathigal,பயங்கரவாதிகள்,பயங்கராவதிகள்
jappaanin,ஜப்பானின்,ஜப்பானின்
bisiyaaga,பிசியாக,பிசியாக
wells,வெல்ஸ்,வெல்ல்
pasukkalin,பசுக்களின்,பசுக்களின்
enggo,எங்கோ,எங்கோக்
hempstead,ஹெம்ப்ஸ்டெட்,ஹெய்ப்ட்டேட்
kidanthanar,கிடந்தனர்,கிடந்தனர்
kuriththullaargal,குறித்துள்ளார்கள்,கிறித்துள்ளார்கள்
dae,டை,டே
kadidhamum,கடிதமும்,கடிதமும்
alakiyaana,அழகியான,அளகியான
sangaththai,சங்கத்தை,சங்கத்தை
thirunthiyirikkirar,திருந்தியிருக்கிறார்,திருந்திரிக்கிறார்
masuthiyai,மசூதியை,மசுதியை
thogaiyaanthu,தொகையானது,தோகையான்து
adhumattumalla,அதுமட்டுமல்ல,அதுமம்டுமல்ல
odissi,ஒடிசி,டாிச்சி
samapangku,சமபங்கு,சமாங்கு
kedaaiyaa,கெடாய்ய,கெடாய்யா
soazhargalukku,சோழர்களுக்கு,சோழர்களுக்கு
aarppaattangal,ஆர்ப்பாட்டங்கள்,ஆற்ப்பாட்டங்கள்
dhakshinaamoorthy,தட்சிணாமூர்த்தி,தக்ஷினாமமாத்தி
kaithigalai,கைதிகளை,கைதிகளை
pazhani,பழநி,பனனி
seenitthovai,சீனித்தொவை,சீனித்தோவை
gaines,கைனெஸ்,கைன்ஸ்
ezhuthiyirukkiraargal,எழுதியிருக்கிறார்கள்,எழுதியிருக்கிறார்
kakinada,காகினாடா,ககின்ட
kidaikkaadhadhaal,கிடைக்காததால்,கிடைக்காததால்
tayde,டேடே,டாட்டே
pirammaththai,பிரம்மத்தை,பிரம்மத்தை
moolzhgadikkappatta,மூழ்கடிக்கப்பட்ட,மூழ்களிக்கப்பட்டட
kontirunta,உறங்கிக்,கொண்டிருந்த
piraroodu,பிறரோடு,பிரோருடு
matkalangaley,மட்கலன்களே,மட்கல்கள்சே
kaaranamaagum,காரணமாகும்,காரணமாகும்
ayiathimuka,அஇஅதிமுக,அயிதமுச்க
loova,லோவ,லோவ
meenkalaiyum,மீன்களையும்,மீங்களையும்
vakuththaal,வகுத்தால்,வகுத்தால்
muthalvarai,முதல்வரை,முதர்வை
kaattrae,காற்றே,காற்றே
thalaynagaram,தலைநகரம்,தலல்சாகரம்
thiranaaligalukkaana,மாற்றுத்,திரணாளிகளுக்கான
atkinson,அட்கின்சன்,அட்கின்ன்ன்
yuuee,யூ,யூவே
kurukkup,குறுக்குப்,குறுக்குப்
fertilizers,ஃபெர்டிலைசர்ஸர்ஸ்,பெர்டிலிர்ஸ்
lancaster,லான்செஸ்டர்,லாங்கேட்டர்
kanavanathu,கணவனது,கணவனது
thuruvam,துருவம்,துருவாம்
thulai,துளை,துளை
sarbia,செர்பியா,சா்்ிரா
thunburuththal,துன்புறுத்தல்,துன்புறுத்தல்
kampalattu,கம்பளத்து,கம்பலட்டு
yoorik,யூரிக்,யூரிக்
koottappatta,கூட்டப்பட்ட,கூட்டப்பட்ட
agachchiththarippu,அகச்சித்தரிப்பு,அகச்சியத்திப்பு
uraiyaadalgalai,உரையாடல்களை,உறையாட்களகள
seyalpatatha,செயல்படாத,செயல்படத
kaalakattaththil,காலகட்டத்தில்,காலகட்டத்தில்
pesinen,பேசினேன்,பெசின்ன்
karuthippaarththu,கருதிப்பார்த்து,கருதிப்பார்த்து
rivas,ரிவாஸ்,ராவச்
arellano,அரில்லானோ,அரெல்லானோ
symon,சைமன்,ஸைம்ன்
saaradhigal,சாரதிகள்,சாரதிகள்
vaethangkalil,வேதங்களில்,வேதங்களில்
seyalpaduthal,செயல்படுதல்,செயல்படுதல்
vendum,குளிக்க,வெண்டும்
ekapoakam,ஏகபோகம்,எகோகம்
thankich,தங்கிச்,தாங்கிச்
therinthirunthavar,தெரிந்திருந்தவர்,தெரிந்திருந்தவர்
puunakariyil,பூநகரியில்,புனகரியில்
porundhavillai,பொருந்தவில்லை,பொருந்தவில்லை
pinvaanginaar,பின்வாங்கினார்,பின்வாங்கினார்
koppai,கோப்பை,கொப்பை
matravargalaith,மற்றவர்களைத்,மற்றவர்களைத்
weils,வெல்ஷ்,யெல்ய்
kilappi,கிளப்பி,கிளப்பி
varukinrana,உலா,வருகின்றன
puratti,புரட்டி,புறட்டி
kalviyaandu,கல்வியாண்டு,கல்வியான்டு
naangalum,நாங்களும்,நாங்களும்
uruvaakkal,உருவாக்கல்,உருவாக்கள்
laal,ளால்,லால்
varuvaay,வருவாய்,வருவாய்
poivittaar,போய்விட்டார்,பொயிவ்ட்டார்
wheel,வீல்,வீல்
mishra,மிஸ்ரா,மிஷ்ரா
solren,சொல்றேன்,சோல்ர்
kaividappadugiraargal,கைவிடப்படுகிறார்கள்,கைவிடப்படுகிறார்கள்
seiyappattiruppaar,செய்யப்பட்டிருப்பார்,செய்யப்பட்டுப்பார்
aarvaththaik,ஆர்வத்தைக்,ஆர்வத்தக்
vaattara,வாட்டர்ஸ்,வாட்றர
paantavarkalai,பாண்டவர்களை,பாண்டவர்களை
pathikkaththaan,பதிக்கத்தான்,பதிக்கத்தான்
ezhuthiyulla,எழுதியுள்ள,எழுதியுள்ள
gudepu,குடேபு,குடுபோ
alambiththudaiththu,அலம்பித்துடைத்து,அளம்பித்துகைத்து
kallurigazhum,கல்லூரிகளும்,கல்லுரிகிழும்
deerfield,டீர்ஃபீல்டு,தீர்பியிட்
raentam,ரேண்டம்,ரேண்டம்
padigalin,படிகளின்,படிகளின்
isuzu,இசுசூ,இசுலு
moorththikal,மூர்த்திகள்,மூர்த்திகள்
therkkilirundhu,தெற்கிலிருந்து,தெர்க்கிலிருந்து
laqchhami,லட்சுமி,லாச்சமி
valinadaththi,வழிநடத்தி,வளிநடத்தி
emilie,எமிலி,எமிலி
gardan,கார்டன்,கற்டான்
santharppankal,சந்தர்ப்பங்கள்,சந்தர்ப்பங்கள்
pirachurankal,பிரசுரங்கள்,பிரச்சர்ககள்
kavalaiye,கவலையே,கலலையே
ezhundhukkum,எழுந்துக்கும்,எழுந்துக்கும்
gudd,குட்,கட்டு
dasila,டசில்லா,பாசில
vetridaththil,வெற்றிடத்தில்,வெறித்ததில்
chennai,சென்னை,சென்னை
unarndhirundhaan,உணர்ந்திருந்தான்,உணர்ந்திருந்தான்
kelvih,கேள்விஃ,கேல்வி
texas,டெக்சாஸ்,டெக்ஸ்
matravargal,மற்றவர்கள்,மற்றவர்கள்
adiyum,அடியும்,அடியும்
earkanavae,ஏற்கனவே,நற்கணவே
santhan,சாந்தன்,சந்தன்
wedik,வேதக்,வேடிக்
kaavalthuraik,காவல்துறைக்,காலவ்துறைக்
thodarpalar,தொடர்பாளர்,தொடர்பளர்
karanamaakum,காரணமாகும்,கரணமாகும்
shimman,சிம்மன்,சிம்மன்
patrick,பேட்ரிக்,பற்றிக்
lamb,லாம்ப்,லம்ப்
balmer,பால்மெர்,பாலம்
vitum,கலந்து,விடும்
redding,ரெட்டிங்,ரெட்டிங்
kadidhangalum,கடிதங்களும்,கடிதங்களும்
birlasoft,பிர்லாஸாஃப்ட்,பிரல்லாச்்்ட
sollappadupavargalum,சொல்லப்படுவர்களும்,சொல்லப்படுப்பவர்களும்
prabhoo,பிரபு,பிரபோய
redwood,ரெட்வுட்,ரெட்டேட
kalra,கல்ரா,கார்ர
napa,நபா,ாப
nigazhchiyum,நிகழ்ச்சியும்,நிகழ்சியும்
mutiyala,முடியல,முடியால
perundhaabam,பெருந்தாபம்,பெருந்தாபம்
harres,ஹாரிஸ்,ஹர்ரேஸ்
solvathaga,சொல்வதாக,சொல்வதக
piramukar,பிரமுகர்,பிரமுக்்
idaodhikkeedu,இடஒதுக்கீடு,இடைத்கிக்குு
vaelaigalum,வேலைகளும்,வேலைகளும்
koottangalukku,கூட்டங்களுக்கு,கூட்டங்களுக்கு
mahaveerar,மகாவீரர்,மகேவரர்
bula,போலா,புலா
aaivukku,ஆய்வுக்கு,ஆய்வுக்கு
koottangalai,கூட்டங்களை,கூட்டங்களை
passaic,பசாய்க்,பாச்சைச்
asoq,அசோகா,அசோஸ்
gouuld,கோல்ட்,கோலும்
ullatakkum,உள்ளடக்கும்,உள்ளடக்கும்
thayaarippathundu,தயாரிப்பதுண்டு,தயரரிப்படுந்து
inththiyaavirkul,இந்தியாவிற்குள்,இந்தியாவிற்குக்
araku,அரக்கு,அரகு
narambugalai,நரம்புகளை,நரம்புகளை
panigalukkup,பணிகளுக்குப்,பணிகளுக்குப்
okay,ஓகே,கசோய்
nigalvugazhaiyum,நிகழ்வுகளையும்,நிகல்வுகழையும்
irukkinroom,இருக்கின்றோம்,இருக்கின்போர்
aazhthulai,ஆழ்துளை,ஆழ்துளை
kalvikkaana,கல்விக்கான,கல்விக்கான
kovai,கோவை,கொவை
alaiyum,அலையும்,அளையும்
kulithu,குளித்து,குளிது
odisii,ஒடிசி,ஓடிசி
sedhamadaindhu,சேதமடைந்தது,சீதமமைந்து
yeraalam,ஏராளம்,யெராலம்
tokaiyin,தொகையின்,டொடையின்
arignargalinaalum,அறிஞர்களினாலும்,அறிக்ஙங்களாலலும்
cheyalmuraiku,செயல்முறைக்கு,செயல்முறைகு
vidhiththu,விதித்து,விதித்து
kontiruntha,உறங்கிக்,கொண்டிருந்த
kuudum,கூடும்,குடும்
thamizhakatthilirundhu,தமிழகத்திலிருந்து,தமிழகக்திலிருந்து
vilaiyaaduthal,விளையாடுதல்,விளையாடுதல்
maddox,மட்டோக்ஸ்,மட்டாக்
vaangguthal,வாங்குதல்,வாங்குதல்
cheyn,செயின்,செய்
puriginrana,புரிகின்றன,புறிகின்ன
aathmaa,ஆத்மா,ஆட்மா
kitantanar,கிடந்தனர்,கிடன்தனர்
kettathu,கேட்டது,கெட்டது
alavugal,அளவுகள்,அளவுகள்
ganeebaa,கனீபா,கணீபா
kidaikkinra,கிடைக்கின்ற,கிடைக்கின
seetu,சிட்டு,சீடு
syriyap,சிரியப்,ஸ்ரியாப்
masuuthiyai,மசூதியை,மசுுியை
akkanitha,அக்கணித,அக்கணித
jallian,ஜாலியன்,ஜல்லியன்
yerpaduvathudan,ஏற்படுவதுடன்,யெற்படுவதுடன்
ahmedabadil,அகமதாபாத்தில்,அச்மேடடில்
ennaa,என்னா,என்னா
saraikela,சரைகேலா,சரைகளே
veliyaagiyirundhaal,வெளியாகியிருந்தால்,வெளியாசியில்துாாள
valanguvathai,வழங்குவதை,வளங்குவதை
rishiraj,ரிஷிராஜ்,ரிஷிராஜ்
mandaavar,மண்டாவர்,மண்டாவர்
nawin,நவீன்,நாிின்
venmaippuratchiyin,வெண்மைப்புரட்சியின்,வென்மைப்புப்பிிிி்
thalaivarai,தலைவரை,தலைவரை
suvaachiththirukkum,சுவாசித்திருக்கும்,சுவாச்சியத்துக்கும்
vadamaagaana,வடமாகாண,வடமாகான
nyaayirandru,ஞாயிறன்று,யாயிற்றறு
cankath,சங்கத்,கண்கத்
iraingaaname,இறைஞானமே,இறைச்சானமே
kolupil,கொழுப்பில்,கொலுபில்
nadunilaip,நடுநிலைப்,நடுநிலைப்
webster,வெப்ஸ்டர்,வெப்்்ர்
ramon,ரமோன்,ராமன்
vaakanangkalin,வாகனங்களின்,வாகனங்களின்
kaalanigal,காலணிகள்,காலணிகள்
aanthai,ஆந்தை,ஆந்தை
avarooda,அவரோட,அவரூட
mcdowell,மெக்டோவெல்,ம்டேலேல்ல்
seiyyappattapothu,செய்யப்பட்டபோது,செய்யைப்பட்டபடுது
pugaaril,புகாரில்,புகாரில்
sengkuththaana,செங்குத்தான,செங்குத்தான
magatha,மகத,சகத்
infraprojects,இன்ஃப்ராபிராஜெக்ட்ஸ்,இன்பர்ாபரர்ச்்
vanurti,உலங்கு,வவுர்டி
thadangkalil,தடங்களில்,தடங்களில்
kulaththirku,குளத்திற்கு,குளத்திற்கு
durgai,துர்க்கை,துற்கை
bee,பீ,ீய
kabulil,காபூலில்,கப்பில்
madala,மடலா,மடல
shashthrigal,சாஸ்திரிகள்,சஷ்்ிரிகள்
nadandhabothu,நடந்தபோது,நடந்தபோது
raenjch,ரேஞ்ச்,ரான்ச்
kolhapur,கோலாபூர்,கொலப்புர்
irusakkara,இருசக்கர,இருசக்கர
church,சர்ச்,சார்ச்
velip,வெளிப்,வெளிப்
asramm,ஆசிரமம்,அஸ்ரம்ம்
overgal,ஓவர்கள்,ஒலர்கள்
nalliravu,நள்ளிரவு,நல்லிரவு
baarathiyaar,பாரதியார்,பாரதியார்
athishta,அதிஷ்ட,அதிஷ்டா
poaraan,போரான்,போரான்
vaerldu,வேர்ல்டு,வேர்ள்டு
glycols,க்ளைகால்ஸ்,கில்யால்ஸ்
ariyum,அறியும்,அறியும்
swamigalaippatri,சுவாமிகளைப்பற்றி,ச்வமிமைப்பற்றி
seyint,செயிண்ட்,செயின்ட்
bareli,பரேலி,பரர்லி
vaangavum,வாங்கவும்,வாங்கவும்
edukkumaaru,எடுக்குமாறு,எடுக்குமாறு
kandippa,கண்டிப்பா,கண்டிப்ப
madgaon,மட்காவுன்,மட்கேன்
uththiyogaththil,உத்தியோகத்தில்,உத்தியோகத்தில்
pukazhpettravai,புகழ்பெற்றவை,புகழ்பெற்றவை
tinsukia,டின்சுகியா,டின்சுமி
ashraf,அஷ்ரஃப்,அஷ்ராச்
porulaagaum,பொருளாகும்,பொருளாகும்
akaththi,அகத்தி,அகத்தி
seyyulgal,செய்யுள்கள்,செய்யுள்கள்
oottappattullaarkal,ஊட்டப்பட்டுள்ளார்கள்,ஓட்டப்பட்டுள்ளார்்
vaiththiyam,வைத்தியம்,வைத்தியம்
matravargalthaan,மற்றவர்கள்தான்,மற்றவர்கள்தான்
aegis,ஏஜிஸ்,ஏக்சி
adangkiyulla,அடங்கியுள்ள,அடங்கியுள்ள
appothe,அப்போதே,அப்போத்
young,யங்,யூு்்
bhopal,போபால்,போபல்
aangalaik,ஆண்களைக்,ஆங்களைக்
panigalin,பணிகளின்,பணிகளின்
moody,மூடி,மூட்
azhaga,அழகா,அழக்
hendrix,ஹென்ட்ரிக்ஸ்,நேன்றிக்
kannoottatthil,கண்ணோட்டத்தில்,கண்ணூட்டத்தில்
yakima,யகிமா,யகச்மா
saunders,சௌந்தர்ஸ்,சான்டர்ஸ்
kulanggalaiyum,குளங்களையும்,குளங்களையும்
joliet,ஜோலியட்,ஜோலியட்
valakkukalukku,வழக்குகளுக்கு,வலக்குகளுக்கு
kurdu,குர்து,கற்டு
thompson,தாம்ப்சன்,தோம்பப்ன்
ariviththirunthathu,அறிவித்திருந்தது,அறிவித்திருந்தது
viil,வீல்,வில்
kavali,கவலை,கலாவி
malarkalaiyum,மலர்களையும்,மலர்களையும்
budaun,புதான்,புடுன்
nanmaikal,நன்மைகள்,நண்மைகள்
naangalaum,நாங்களும்,நாங்களமம்
twin,ட்வின்,டின்
antioch,ஆன்டியோச்,அண்டிசோச்
veliyidappadavillai,வெளியிடப்படவில்லை,வெளியிடப்படவில்லை
pandavargalil,பாண்டவர்களில்,பண்டவர்களில்
alam,ஆலம்,லாம்
sadaamudiyan,சடாமுடியன்,சடமடுியின்
parakkum,பறக்கும்,பரக்கும்
saaiman,சைமன்,சாய்மன்
valarppaith,வளா்ப்பைத்,வளர்ப்பைத்
adadaa,அடடா,அடாட
maadhangalilume,மாதங்களிலுமே,மாதங்களிலுமே
yookam,யோகம்,யூகம்
kurainthae,குறைந்தே,குறைந்தே
tiwari,திவாரி,டிவாரி
padaiyaniyum,படையணியும்,படையனியும்
palu,பளு,பலு
sangamaga,சங்கமாக,சங்கமாக
muraimaikalai,முறைமைகளை,முறைமைகளை
paduththiya,படுத்திய,படுத்திய
vealaiyaiyum,வேலையையும்,வேளையையும்
seiyappattiruntha,செய்யப்பட்டிருந்த,செய்யப்பட்டிருந்த
ataher,அடஹெர்,அடேர்
neeroattaththil,நீரோட்டத்தில்,நீரோட்டத்தில்
seiyalattiryavargalaiyum,செயலாற்றியவர்களையும்,செய்யலாட்டிவர்கையையும்
avathikullaakuvaar,அவதிக்குள்ளாக்குவார்,அவதிகுள்ளுவாகர்
adiittii,அதிதி,அடிட்டிிி
esuppaaniya,எசுப்பானிய,எசுப்பானிய
chuttik,சூட்டிக்,சுட்டிக்
munaipunilaiyaaga,முனைப்புநிலையாக,முனைபிலுமையாக
piramaandamaana,பிரமாண்டமான,பிரமாண்டமான
communications,கம்யூனிகேஷன்ஸ்,காம்மமடிசெச்சின்
polaagivittadhey,போலாகிவிட்டதே,பொலாகிவிட்டதே
nuraiyeeral,நுரையீரல்,நுறையேரல்
inraikkum,இன்றைக்கும்,இன்றைக்கும்
sandhiya,சந்தியா,சந்திய
saemikkappattullathu,சேமிக்கப்பட்டுள்ளது,சேமிக்கப்பட்டுள்ளது
shaji,ஷாஜி,சாஜி
neemuch,நீமச்,நீமுச்
yekspoa,எக்ஸ்போ,யெய்க்கோ
arundhivittom,அருந்திவிட்டோம்,அருந்திவிட்டம்
pannividuvaargalo,பண்ணிவிடுவார்களோ,பண்ணிவிவுக்காக
siththaantha,சைவ,சித்தானத
kavalaiyil,கவலையில்,கலலையில்
forest,ஃபாரெஸ்ட்,போர்ஸ்ட்ட
gupta,குப்தா,குட்ப
padaththaiyum,படத்தையும்,படத்தையும்
kuuttankalin,கூட்டங்களின்,குட்டங்களின்
poattiyaandahu,போட்டியானது,போட்டியானது
thiran,திறன்,திரன்
kkalin,க்களின்,க்களின்
daiie,டை,டையே
padaithan,படைத்தான்,படைத்
peraniyil,பேரணியில்,பெரணியில்
microsaaft,மைக்ரோசாப்ட்,மிஸ்ரோசாட்
mcclain,மெக்லன்,ம்க்லைன்
pattakaararaana,பட்டகாரரான,பட்டகாராரன
ithevealai,இதேவேளை,இத்வீலாய்
vaippaargal,வைப்பார்கள்,வைப்பார்கள்
naanaa,நானா,நானா
nilainiruththum,நிலைநிறுத்தும்,நிலைநிருத்தும்
asooka,அசோகா,அசூக
serndhu,சேர்ந்து,செர்ந்து
